非集成业务场景清单,,,,,,,,,,,,,,,,,
序号,一级目录,二级目录,三级目录编码,三级目录,业务场景编码,明细业务场景,涉及借方科目,涉及贷方科目,业务场景说明,"对应表单名称
（主表单）","对应表单名称
（业务信息表）",支持性附件名称,表单设计单位,表单设计人,场景状态,备注,
1,采购至应付,员工差旅,A1_02_0001,出差申请,A01001,出差申请,申请无核算,申请无核算,是指业务人员在业务服务平台创建出差申请及行程确认单，完成业务审批，通过商旅平台预订或以个人垫付形式预订交通工具及住宿,出差申请单,,员工出差乘坐飞机审批表,西安中心,"王娟、李婉琪、段婷
王莎莎、王丹
李骁",正常,,
2,采购至应付,员工差旅,A1_02_0002,差旅费报销,A01002,差旅费报销,"5042000000差旅费
5038000000会议费
2211008000职工教育经费
5023010000办公费-办公车辆路桥、停车费
5044110000商旅服务费
2241024000党组织工作经费
2241025000托管党费
2211007000工会经费
4301001002安全生产费用
2241008000安保基金
6711022998维稳支出
5098000000其他费用
5047120000团组织工作经费
5048140000施工调遣费
2211002998其他福利费
2211011997其他人员劳务费
6711013000 营业外支出-其他支出 
2211002003应付职工薪酬-应付福利费-福利费支出-疗养费
2211002010应付职工薪酬-应付福利费-福利费支出-探亲路费
5010120000员工费用-福利费
2221001031应交税费-应交税金-待认证进项税额
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2221001004应交税费-应交税金-应交增值税-进项税额-旅客运输服务","2241030000其他应付款-内部短期款项
2241026000其他应付款-员工报销集中支付
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2211002001应付职工薪酬-应付福利费-提取数
2241028000其他应付款-代垫商旅款项
2202001000应付账款-应付账款
1185001000备用金-备用金
1123000000预付账款",是指业务人员在出差结束后发起报销，经过业务审批后，在共享中心完成账务处理及个人垫付费用、补助金额支付,差旅费报销单,差旅费报销单,员工出差乘坐飞机审批表,西安中心,"王娟、李婉琪、段婷
王莎莎、王丹
李骁",正常,,
3,采购至应付,员工差旅,A1_02_0003,商旅结算及发票配送,A01003,商旅已报销模式结算-发票配送,"2202001000应付账款-应付账款
2241028000其他应付款-代垫商旅款项
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额","2221001031应交税费-应交税金-待认证进项税额
2241030000其他应付款-内部短期款项",是指商旅平台与业务单元按照员工已完成报销的商旅费用开具结算凭证并完成资金结算的业务,商旅结算及发票配送单,商旅结算及发票配送单-已报销,,成都中心,曹力,正常,,
4,采购至应付,事前申请,A1_01_0001,主办会议申请,A00001,主办会议申请,申请无核算,申请无核算,是指企业各部门主办会议，按照主办会议预计发生的场地租赁、会务服务、会展服务等相关事项填写事前申请，报销相关费用时必须挂接此申请,主办会议申请,,,成都中心,叶田,正常,,
5,采购至应付,事前申请,A1_01_0004,主办培训申请,A00004,主办培训申请,申请无核算,申请无核算,是指企业各部门举办公司内部、外部培训，按照主办培训预计发生的相关场地租赁、采购培训用品等相关事项填写事前申请，报销相关费用时必须挂接此申请,主办培训申请,,培训项目费用明细表,成都中心,郭东阳,正常,,
6,采购至应付,事前申请,A1_01_0002,业务招待申请,A00002,业务招待申请,申请无核算,申请无核算,是指企业因经营业务需要而发生的招待事项，需在招待发生前，填写此申请，报销相关费用时必须挂接此申请,业务招待申请单,,,西安中心,徐意,正常,,
7,采购至应付,事前申请,A1_01_0003,通用申请,A00003,通用申请,申请无核算,申请无核算,是指按照企业管理规定，在发生指定事项前，填写本申请，报销相关费用时必须挂接此申请,通用申请单,,,大庆中心,夏天,正常,,
8,采购至应付,事前申请,A1_01_0006,参加会议申请,A00006,参加会议申请单,申请无核算,申请无核算,是指员工按照相关会议通知申请参加会议填写的事前申请，需在参加会议前，填写此申请，报销相关费用时必须挂接此申请,参加会议申请单,,,成都中心,叶田,正常,,
9,采购至应付,事前申请,A1_01_0009,购买餐票申请,A00013,购买餐票申请单,申请无核算,申请无核算,主要承载所属集团股份总部购买食堂就餐餐票业务,购买餐票申请单,,,大庆中心,夏天,正常,,
10,采购至应付,费用报销,A1_03_0001,费用报销,A02001,结算购买办公用品,"5023040000办公费-文具纸张费用
5023070000办公费-办公耗材
5023090098办公费-其他办公费用
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额 
2228001004应交境外税金-应交增值税-进项税额","2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2202001000应付账款-应付账款
2221001080应交税费-应交税金-个人所得税
2241下所有明细科目
1012011000其他货币资金-加油（气）站资金
1013001000内部存款-内部结算存款
2228001002应交境外税金-应交增值税-销项税额
2228011001应交境外税金-代扣代缴税-代扣代缴增值税
2228011002应交境外税金-代扣代缴税-代扣企业所得税
2228011998应交境外税金-代扣代缴税-其他
2228023000应交境外税金-预扣税",是指企业各部门日常发生的购买办公用品相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,购买办公用品验收汇总表,,西安中心,王娟,正常,,
